title,company_name,location_name,category_name,salary_min,salary_max,salary_avg,contract_type,contract_time,currency
Roadside Rescue Mechanic,RAC,"Oxford Circus, Central London",Engineering Jobs,0.0,66000.0,33000.0,Unknown,full_time,GBP
Roadside Technician - Bromley,RAC,"Brompton, Gillingham",Engineering Jobs,0.0,66000.0,33000.0,Unknown,full_time,GBP
Mobile Vehicle Technician - Luton,RAC,"Harpenden, Hertfordshire",Engineering Jobs,0.0,57000.0,28500.0,Unknown,full_time,GBP
Customer Service Advisor,EE,"Great Usworth, Washington",Social work Jobs,25087.0,25087.0,25087.0,permanent,full_time,GBP
Mobile Mechanic,RAC,"Chadbury, Evesham",Engineering Jobs,25087.0,52000.0,38543.5,Unknown,full_time,GBP
Roadside Vehicle Technician,RAC,"Selhurst, South East London",Engineering Jobs,25087.0,66000.0,45543.5,Unknown,full_time,GBP
Delivery Driver,Evri,"Altens, Aberdeen",Logistics & Warehouse Jobs,38643.83,38643.83,38643.83,Unknown,Unknown,GBP
Roadside Technician - Swindon,RAC,"Rodbourne Cheney, Swindon",Engineering Jobs,38643.83,61000.0,49821.915,Unknown,full_time,GBP
Psychologist,Witherslack Group,"Fulwood, Preston",Healthcare & Nursing Jobs,60280.01,60280.01,60280.01,Unknown,part_time,GBP
Roadside Mechanic,RAC,"Riverhead, Sevenoaks",Engineering Jobs,60280.01,66000.0,63140.005000000005,Unknown,full_time,GBP
Roadside Rescue Mechanic,RAC,"Selhurst, South East London",Engineering Jobs,60280.01,66000.0,63140.005000000005,Unknown,full_time,GBP
Mobile Vehicle Technician - North West,RAC,"Malkins Bank, Sandbach",Engineering Jobs,60280.01,52000.0,56140.005000000005,Unknown,full_time,GBP
Mobile Vehicle Technician - Barnsley/Doncaster,RAC,"Kirkhamgate, Wakefield",Engineering Jobs,60280.01,52000.0,56140.005000000005,Unknown,full_time,GBP
Mobile Mechanic,RAC,"Wilstone Green, Tring",Engineering Jobs,60280.01,52000.0,56140.005000000005,Unknown,full_time,GBP
Mobile Vehicle Technician,RAC,"Oaklands, St. Albans",Engineering Jobs,60280.01,57000.0,58640.005000000005,Unknown,full_time,GBP
Customer Service Advisor - Belfast,EE,"Hillhall, Lisburn",Healthcare & Nursing Jobs,25087.0,25087.0,25087.0,Unknown,Unknown,GBP
Mobile Vehicle Technician - Watford,RAC,"Denner Hill, Great Missenden",Engineering Jobs,25087.0,57000.0,41043.5,Unknown,full_time,GBP
Sales Advisor - Uncapped Commission,EE,"West Harlsey, Northallerton",Sales Jobs,25087.0,25087.0,25087.0,permanent,full_time,GBP
Sales Agent - Uncapped Commission,EE,"Hurworth, Darlington",Sales Jobs,25087.0,25087.0,25087.0,permanent,full_time,GBP
Sales Advisor - Uncapped Commission,EE,"Pelaw, Gateshead",Sales Jobs,25087.0,25087.0,25087.0,permanent,full_time,GBP
Mobile Vehicle Technician - Coventry,RAC,"Hilderstone, Stone",Engineering Jobs,25087.0,52000.0,38543.5,Unknown,full_time,GBP
Roadside Technician - Cheltenham,RAC,"Charlton Kings, Cheltenham",Engineering Jobs,25087.0,61000.0,43043.5,Unknown,full_time,GBP
HGV Driver,Ocado Logistics,"South Ockendon, Essex",Logistics & Warehouse Jobs,18.0,18.0,18.0,contract,full_time,GBP
Mobile Vehicle Technician - Norwich,RAC,"Suton, Wymondham",Engineering Jobs,18.0,52000.0,26009.0,Unknown,full_time,GBP
Team Leader - Children's Homes,Witherslack Group,"Heighington, Darlington",Social work Jobs,38644.68,38644.68,38644.68,Unknown,full_time,GBP
Mobile Vehicle Technician - Bournemouth,RAC,"Branksome, Poole",Engineering Jobs,38644.68,52000.0,45322.34,Unknown,full_time,GBP
Sales Advisor - Uncapped Commission,EE,"Spital Tongues, Newcastle Upon Tyne",Sales Jobs,25087.0,25087.0,25087.0,permanent,full_time,GBP
Roadside Mechanic,RAC,"Holcot, Northampton",Engineering Jobs,25087.0,61000.0,43043.5,Unknown,full_time,GBP
Mobile Vehicle Technician,RAC,"Letchworth Garden City, Hertfordshire",Engineering Jobs,25087.0,52000.0,38543.5,Unknown,full_time,GBP
Mobile Mechanic,RAC,"Snarehill, Thetford",Engineering Jobs,25087.0,52000.0,38543.5,Unknown,full_time,GBP
Mobile Mechanic,RAC,"Charlton Kings, Cheltenham",Engineering Jobs,25087.0,52000.0,38543.5,Unknown,full_time,GBP
Roadside Vehicle Technician,RAC,"Arlingham, Gloucester",Engineering Jobs,25087.0,61000.0,43043.5,Unknown,full_time,GBP
Roadside Technician - Swindon,RAC,"Sandshill, Faringdon",Engineering Jobs,25087.0,61000.0,43043.5,Unknown,full_time,GBP
Mobile Mechanic,RAC,"Shaldon, Teignmouth",Engineering Jobs,25087.0,52000.0,38543.5,Unknown,full_time,GBP
Roadside Vehicle Mechanic,RAC,"Brooklands, Sale",Engineering Jobs,25087.0,61000.0,43043.5,Unknown,full_time,GBP
Roadside Technician - Heathrow,RAC,"Brentford, West London",Engineering Jobs,25087.0,66000.0,45543.5,Unknown,full_time,GBP
Delivery Driver,Evri,"Thames View Industrial Park, Abingdon",Logistics & Warehouse Jobs,37781.02,37781.02,37781.02,Unknown,Unknown,GBP
Mobile Vehicle Technician,RAC,"Wymington, Rushden",Engineering Jobs,37781.02,52000.0,44890.509999999995,Unknown,full_time,GBP
Mobile Vehicle Technician,RAC,"Northchurch, Berkhamsted",Engineering Jobs,37781.02,57000.0,47390.509999999995,Unknown,full_time,GBP
Mobile Mechanic,RAC,"Chalvey, Slough",Engineering Jobs,37781.02,52000.0,44890.509999999995,Unknown,full_time,GBP
Roadside Vehicle Technician,RAC,"Styal, Wilmslow",Engineering Jobs,37781.02,61000.0,49390.509999999995,Unknown,full_time,GBP
Mobile Vehicle Technician - Watford,RAC,"Edgware, North West London",Engineering Jobs,37781.02,57000.0,47390.509999999995,Unknown,full_time,GBP
Delivery Driver,Evri,"Barrowby, Grantham",Logistics & Warehouse Jobs,40616.93,40616.93,40616.93,Unknown,Unknown,GBP
Pharmacy Manager,Ramsay Health Care,"Great Hallingbury, Bishop's Stortford",Healthcare & Nursing Jobs,47456.85,47456.85,47456.85,Unknown,full_time,GBP
Mobile Vehicle Technician,RAC,"Caldewgate, Carlisle",Engineering Jobs,47456.85,52000.0,49728.425,Unknown,full_time,GBP
Roadside Mechanic,RAC,"Newland, Malvern",Engineering Jobs,47456.85,61000.0,54228.425,Unknown,full_time,GBP
Mobile Vehicle Technician,RAC,"Delapre, Northampton",Engineering Jobs,47456.85,52000.0,49728.425,Unknown,full_time,GBP
Superflex Roadside Technician,RAC,"Harlington, Hayes",Engineering Jobs,47456.85,61000.0,54228.425,Unknown,full_time,GBP
Design & Technology Teacher,Witherslack Group,"Hildenborough, Tonbridge",Teaching Jobs,43018.72,43018.72,43018.72,Unknown,full_time,GBP
Roadside Vehicle Technician,RAC,"Heyrod, Stalybridge",Engineering Jobs,43018.72,61000.0,52009.36,Unknown,full_time,GBP
Mobile Vehicle Technician,RAC,"Worle, Weston-Super-Mare",Engineering Jobs,43018.72,52000.0,47509.36,Unknown,full_time,GBP
Mobile Vehicle Technician - Horsham,RAC,"Horsham, West Sussex",Engineering Jobs,43018.72,52000.0,47509.36,Unknown,full_time,GBP
Mobile Mechanic,RAC,"Elstow, Bedford",Engineering Jobs,43018.72,52000.0,47509.36,Unknown,full_time,GBP
Mobile Vehicle Technician,RAC,"Denner Hill, Great Missenden",Engineering Jobs,43018.72,57000.0,50009.36,Unknown,full_time,GBP
Part-Time SEN Primary Teacher,Witherslack Group,"Mitcham Junction, Mitcham",Part time Jobs,37483.33,37483.33,37483.33,Unknown,part_time,GBP
Roadside Rescue Mechanic,RAC,"Brompton, Gillingham",Engineering Jobs,37483.33,66000.0,51741.665,Unknown,full_time,GBP
